Object Name,X,Y,Z,Dist_X,Dist_Y,Dist_Z
Sphere.001,-21.766637802124023,15.894177436828613,0.06576830893754959,21.766637802124023,15.894177436828613,0.06576830893754959
Sphere.004,-20.77505874633789,16.065757751464844,0.06576830893754959,20.77505874633789,16.065757751464844,0.06576830893754959
Sphere.007,-19.788572311401367,15.912922859191895,0.06576830893754959,19.788572311401367,15.912922859191895,0.06576830893754959
Sphere.010,-18.999799728393555,15.263525009155273,0.06576830893754959,18.999799728393555,15.263525009155273,0.06576830893754959
Sphere.013,-18.25381851196289,14.509897232055664,0.06576830893754959,18.25381851196289,14.509897232055664,0.06576830893754959
Sphere.016,-17.54136848449707,13.724754333496094,0.06576830893754959,17.54136848449707,13.724754333496094,0.06576830893754959
Sphere.019,-16.871925354003906,12.904885292053223,0.06576830893754959,16.871925354003906,12.904885292053223,0.06576830893754959
Sphere.022,-16.261980056762695,12.042494773864746,0.06576830893754959,16.261980056762695,12.042494773864746,0.06576830893754959
Sphere.025,-15.71491813659668,11.133625984191895,0.06576830893754959,15.71491813659668,11.133625984191895,0.06576830893754959
Sphere.028,-15.154518127441406,10.216238975524902,0.06576830893754959,15.154518127441406,10.216238975524902,0.06576830893754959
Sphere.031,-14.453874588012695,9.383514404296875,0.06576830893754959,14.453874588012695,9.383514404296875,0.06576830893754959
Sphere.034,-13.50786018371582,8.814066886901855,0.06576830893754959,13.50786018371582,8.814066886901855,0.06576830893754959
Sphere.037,-12.416946411132812,8.653207778930664,0.06576830893754959,12.416946411132812,8.653207778930664,0.06576830893754959
Sphere.040,-11.337366104125977,8.803196907043457,0.06576830893754959,11.337366104125977,8.803196907043457,0.06576830893754959
Sphere.043,-10.305440902709961,9.122237205505371,0.06576830893754959,10.305440902709961,9.122237205505371,0.06576830893754959
Sphere.046,-9.31643295288086,9.543133735656738,0.06576830893754959,9.31643295288086,9.543133735656738,0.06576830893754959
Sphere.049,-8.355987548828125,10.014880180358887,0.06576830893754959,8.355987548828125,10.014880180358887,0.06576830893754959
Sphere.052,-7.4096269607543945,10.509363174438477,0.06576830893754959,7.4096269607543945,10.509363174438477,0.06576830893754959
Sphere.055,-6.470180511474609,11.014519691467285,0.06576830893754959,6.470180511474609,11.014519691467285,0.06576830893754959
Sphere.058,-5.533544540405273,11.523523330688477,0.06576830893754959,5.533544540405273,11.523523330688477,0.06576830893754959
Sphere.061,-4.596660614013672,12.030421257019043,0.06576830893754959,4.596660614013672,12.030421257019043,0.06576830893754959
Sphere.064,-3.6560630798339844,12.528083801269531,0.06576830893754959,3.6560630798339844,12.528083801269531,0.06576830893754959
Sphere.067,-2.706686019897461,13.00656795501709,0.06576830893754959,2.706686019897461,13.00656795501709,0.06576830893754959
Sphere.070,-1.747793197631836,13.4651517868042,0.06576830893754959,1.747793197631836,13.4651517868042,0.06576830893754959
Sphere.073,-0.7778416872024536,13.887001991271973,0.06576830893754959,0.7778416872024536,13.887001991271973,0.06576830893754959
Sphere.076,0.2224177122116089,14.190176010131836,0.06576830893754959,0.2224177122116089,14.190176010131836,0.06576830893754959
Sphere.079,1.2605875730514526,14.2981538772583,0.06576830893754959,1.2605875730514526,14.2981538772583,0.06576830893754959
Sphere.082,2.322175979614258,14.303166389465332,0.06576830893754959,2.322175979614258,14.303166389465332,0.06576830893754959
Sphere.085,3.387012481689453,14.28700065612793,0.06576830893754959,3.387012481689453,14.28700065612793,0.06576830893754959
Sphere.088,4.451635360717773,14.263017654418945,0.06576830893754959,4.451635360717773,14.263017654418945,0.06576830893754959
Sphere.091,5.515615463256836,14.229358673095703,0.06576830893754959,5.515615463256836,14.229358673095703,0.06576830893754959
Sphere.094,6.57757568359375,14.180073738098145,0.06576830893754959,6.57757568359375,14.180073738098145,0.06576830893754959
Sphere.097,7.628244400024414,14.08532428741455,0.06576830893754959,7.628244400024414,14.08532428741455,0.06576830893754959
Sphere.100,8.607765197753906,13.785204887390137,0.06576830893754959,8.607765197753906,13.785204887390137,0.06576830893754959
Sphere.103,9.433589935302734,13.183707237243652,0.06576830893754959,9.433589935302734,13.183707237243652,0.06576830893754959
Sphere.106,10.045085906982422,12.354841232299805,0.06576830893754959,10.045085906982422,12.354841232299805,0.06576830893754959
Sphere.109,10.453689575195312,11.39644718170166,0.06576830893754959,10.453689575195312,11.39644718170166,0.06576830893754959
Sphere.112,10.715309143066406,10.379364013671875,0.06576830893754959,10.715309143066406,10.379364013671875,0.06576830893754959
Sphere.115,10.821979522705078,9.340272903442383,0.06576830893754959,10.821979522705078,9.340272903442383,0.06576830893754959
Sphere.118,10.762855529785156,8.294681549072266,0.06576830893754959,10.762855529785156,8.294681549072266,0.06576830893754959
Sphere.121,10.472942352294922,7.31060791015625,0.06576830893754959,10.472942352294922,7.31060791015625,0.06576830893754959
Sphere.124,9.904743194580078,6.452836036682129,0.06576830893754959,9.904743194580078,6.452836036682129,0.06576830893754959
Sphere.127,9.164588928222656,5.703091621398926,0.06576830893754959,9.164588928222656,5.703091621398926,0.06576830893754959
Sphere.130,8.365718841552734,5.005417823791504,0.06576830893754959,8.365718841552734,5.005417823791504,0.06576830893754959
Sphere.133,7.550405502319336,4.318165302276611,0.06576830893754959,7.550405502319336,4.318165302276611,0.06576830893754959
Sphere.136,6.766023635864258,3.5792815685272217,0.06576830893754959,6.766023635864258,3.5792815685272217,0.06576830893754959
Sphere.139,6.123895645141602,2.692347288131714,0.06576830893754959,6.123895645141602,2.692347288131714,0.06576830893754959
Sphere.142,5.662725448608398,1.7202842235565186,0.06576830893754959,5.662725448608398,1.7202842235565186,0.06576830893754959
Sphere.145,4.980121612548828,1.3753478527069092,0.06576830893754959,4.980121612548828,1.3753478527069092,0.06576830893754959
Sphere.148,4.841489791870117,2.195946455001831,0.06576830893754959,4.841489791870117,2.195946455001831,0.06576830893754959
Sphere.151,5.266119003295898,3.1439714431762695,0.06576830893754959,5.266119003295898,3.1439714431762695,0.06576830893754959
Sphere.154,5.720760345458984,4.12346076965332,0.06576830893754959,5.720760345458984,4.12346076965332,0.06576830893754959
Sphere.157,6.008380889892578,5.16182804107666,0.06576830893754959,6.008380889892578,5.16182804107666,0.06576830893754959
Sphere.160,6.2712554931640625,6.18778133392334,0.06576830893754959,6.2712554931640625,6.18778133392334,0.06576830893754959
Sphere.163,6.645463943481445,7.170549392700195,0.06576830893754959,6.645463943481445,7.170549392700195,0.06576830893754959
Sphere.166,7.095531463623047,8.131982803344727,0.06576830893754959,7.095531463623047,8.131982803344727,0.06576830893754959
Sphere.169,7.548025131225586,9.096711158752441,0.06576830893754959,7.548025131225586,9.096711158752441,0.06576830893754959
Sphere.172,8.026342391967773,10.040547370910645,0.06576830893754959,8.026342391967773,10.040547370910645,0.06576830893754959
Sphere.175,8.55027961730957,11.001873970031738,0.06576830893754959,8.55027961730957,11.001873970031738,0.06576830893754959
Sphere.178,8.225494384765625,12.084545135498047,0.06576830893754959,8.225494384765625,12.084545135498047,0.06576830893754959
Sphere.181,7.395902633666992,12.79613971710205,0.06576830893754959,7.395902633666992,12.79613971710205,0.06576830893754959
Sphere.184,6.497520446777344,13.382564544677734,0.06576830893754959,6.497520446777344,13.382564544677734,0.06576830893754959
Sphere.187,5.54939079284668,13.899996757507324,0.06576830893754959,5.54939079284668,13.899996757507324,0.06576830893754959
Sphere.190,4.498882293701172,14.20897388458252,0.06576830893754959,4.498882293701172,14.20897388458252,0.06576830893754959
Sphere.193,3.408519744873047,14.195568084716797,0.06576830893754959,3.408519744873047,14.195568084716797,0.06576830893754959
Sphere.196,2.3465404510498047,14.072322845458984,0.06576830893754959,2.3465404510498047,14.072322845458984,0.06576830893754959
Sphere.199,1.2890337705612183,13.94992733001709,0.06576830893754959,1.2890337705612183,13.94992733001709,0.06576830893754959
Sphere.202,0.22706782817840576,13.82878303527832,0.06576830893754959,0.22706782817840576,13.82878303527832,0.06576830893754959
Sphere.205,-0.8338910341262817,13.636391639709473,0.06576830893754959,0.8338910341262817,13.636391639709473,0.06576830893754959
Sphere.208,-1.8436412811279297,13.226944923400879,0.06576830893754959,1.8436412811279297,13.226944923400879,0.06576830893754959
Sphere.211,-2.7735519409179688,12.6844482421875,0.06576830893754959,2.7735519409179688,12.6844482421875,0.06576830893754959
Sphere.214,-3.663606643676758,12.087275505065918,0.06576830893754959,3.663606643676758,12.087275505065918,0.06576830893754959
Sphere.217,-4.5169677734375,11.433333396911621,0.06576830893754959,4.5169677734375,11.433333396911621,0.06576830893754959
Sphere.220,-5.300510406494141,10.703988075256348,0.06576830893754959,5.300510406494141,10.703988075256348,0.06576830893754959
Sphere.223,-6.12782096862793,10.07664966583252,0.06576830893754959,6.12782096862793,10.07664966583252,0.06576830893754959
Sphere.226,-7.086666107177734,9.684179306030273,0.06576830893754959,7.086666107177734,9.684179306030273,0.06576830893754959
Sphere.229,-8.106613159179688,9.377310752868652,0.06576830893754959,8.106613159179688,9.377310752868652,0.06576830893754959
Sphere.232,-9.127208709716797,9.068429946899414,0.06576830893754959,9.127208709716797,9.068429946899414,0.06576830893754959
Sphere.235,-10.148317337036133,8.765384674072266,0.06576830893754959,10.148317337036133,8.765384674072266,0.06576830893754959
Sphere.238,-11.173824310302734,8.422361373901367,0.06576830893754959,11.173824310302734,8.422361373901367,0.06576830893754959
Sphere.241,-11.880134582519531,7.548144340515137,0.06576830893754959,11.880134582519531,7.548144340515137,0.06576830893754959
Sphere.244,-12.217226028442383,6.531611442565918,0.06576830893754959,12.217226028442383,6.531611442565918,0.06576830893754959
Sphere.247,-12.687808990478516,5.637060165405273,0.06576830893754959,12.687808990478516,5.637060165405273,0.06576830893754959
Sphere.250,-13.553703308105469,5.242169380187988,0.06576830893754959,13.553703308105469,5.242169380187988,0.06576830893754959
Sphere.253,-14.495979309082031,5.4590301513671875,0.06576830893754959,14.495979309082031,5.4590301513671875,0.06576830893754959
Sphere.256,-15.099315643310547,6.255548477172852,0.06576830893754959,15.099315643310547,6.255548477172852,0.06576830893754959
Sphere.259,-15.583925247192383,7.196376800537109,0.06576830893754959,15.583925247192383,7.196376800537109,0.06576830893754959
Sphere.262,-15.985544204711914,8.176132202148438,0.06576830893754959,15.985544204711914,8.176132202148438,0.06576830893754959
Sphere.265,-16.421655654907227,9.170516967773438,0.06576830893754959,16.421655654907227,9.170516967773438,0.06576830893754959
Sphere.268,-17.233346939086914,9.9479341506958,0.06576830893754959,17.233346939086914,9.9479341506958,0.06576830893754959
Sphere.271,-18.34574317932129,9.958208084106445,0.06576830893754959,18.34574317932129,9.958208084106445,0.06576830893754959
Sphere.274,-19.382400512695312,9.711353302001953,0.06576830893754959,19.382400512695312,9.711353302001953,0.06576830893754959
Sphere.277,-20.420124053955078,9.58653450012207,0.06576830893754959,20.420124053955078,9.58653450012207,0.06576830893754959
Sphere.280,-21.45940399169922,9.627863883972168,0.06576830893754959,21.45940399169922,9.627863883972168,0.06576830893754959
Sphere.283,-22.37004280090332,9.976203918457031,0.06576830893754959,22.37004280090332,9.976203918457031,0.06576830893754959
Sphere.286,-22.513912200927734,10.92322826385498,0.06576830893754959,22.513912200927734,10.92322826385498,0.06576830893754959
Sphere.289,-22.557424545288086,11.99200439453125,0.06576830893754959,22.557424545288086,11.99200439453125,0.06576830893754959
Sphere.292,-22.618249893188477,13.051167488098145,0.06576830893754959,22.618249893188477,13.051167488098145,0.06576830893754959
Sphere.295,-22.577594757080078,14.09970474243164,0.06576830893754959,22.577594757080078,14.09970474243164,0.06576830893754959
Sphere.298,-22.357065200805664,15.098390579223633,0.06576830893754959,22.357065200805664,15.098390579223633,0.06576830893754959
Sphere.301,-21.766637802124023,15.894177436828613,0.06576830893754959,21.766637802124023,15.894177436828613,0.06576830893754959
